,A nN,A nO,A MW,A Sse,A Si,A Mv,A Mse,A ETA_dAlpha_B,A ETA_BetaP,A FMF,A LOMO,A Bandgap,B nH,B nN,B Mpe,B Mp,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Time (s)
A nN,1.0,0.1292777961829279,0.4746690102475227,0.5514864055837592,0.5879797991990205,0.2101987768160836,0.20814781488189674,0.14100807116614744,0.45701925117986675,0.14604173510777957,-0.4615250641726729,-0.6122881597050783,0.009080713100421425,-0.0525226856879642,-0.06729507984161671,-0.0774639523829825,0.06419575185900528,0.016331418681615185,-0.07173018655554819,-0.06571105587688839,-0.11766303910981198,0.11668057255497895,0.0
A nO,0.1292777961829279,1.0,0.8938614608250475,0.8235637129703768,0.7872127351086751,0.6510206146384873,0.9690442041461875,0.24960543986798833,0.1831377144499312,0.1428834790729539,-0.7474731715803333,-0.5385023050824506,-0.020888208427564184,-0.04358908342929527,-0.07914927475159543,-0.05393620451051596,0.03609963458263094,-0.005622649937209655,-0.040284714319506365,-0.05354081496193581,-0.008559276256841527,0.07443496992980025,1.1335454938734444e-18
A MW,0.4746690102475227,0.8938614608250475,1.0,0.9853446050716022,0.9724048112533122,0.7697834884819817,0.9009296356147601,0.03245798037571094,0.4707368442433867,0.34533297514400096,-0.8915699108009376,-0.7655835255327936,-0.028595229031152438,-0.06271703623881957,-0.09607644125661458,-0.08892018168172473,0.07352042811387569,0.019740374839390822,-0.07845988632753868,-0.07692450706451688,-0.06542458965522982,0.1260386660458991,7.488477429276524e-19
A Sse,0.5514864055837592,0.8235637129703768,0.9853446050716022,1.0,0.9978353826206436,0.7244491347553763,0.8240494846513609,-0.01258459311240899,0.47579101244155475,0.3337161923165046,-0.8692985620143239,-0.7784762614149489,-0.03992806309607995,-0.06724520509239683,-0.08875529331565872,-0.08586987797749866,0.07071551390541785,0.026585050087554428,-0.07488677021691313,-0.08066061382334154,-0.07715271735618263,0.12684522150032976,-5.509816754129673e-19
A Si,0.5879797991990205,0.7872127351086751,0.9724048112533122,0.9978353826206436,1.0,0.7018422859283051,0.787697923048808,-0.02773227381273665,0.48037886580991723,0.32824310563790704,-0.8555081126408492,-0.7804681118233244,-0.04238151742489273,-0.06870577878922221,-0.0865857066954812,-0.08569769634948605,0.07068404338118305,0.02936393509713605,-0.07486585514553411,-0.08197070942838364,-0.08230160293205752,0.12784759711600802,1.2853485227527372e-18
A Mv,0.2101987768160836,0.6510206146384873,0.7697834884819817,0.7244491347553763,0.7018422859283051,1.0,0.7523062365183645,-0.31839456607531985,0.8063842542133107,0.8278706783344414,-0.8922012930768805,-0.7956902551382194,-0.002346667760071587,-0.009062477223527963,-0.06796647535944214,-0.06891032392778774,0.07730643985619416,-0.003702036867343421,-0.06544523309925837,-0.022361071308927807,-0.05579329377700172,0.1037737410094608,0.0
A Mse,0.20814781488189674,0.9690442041461875,0.9009296356147601,0.8240494846513609,0.787697923048808,0.7523062365183645,1.0,0.23532882525007776,0.33636486050032555,0.29092766531062275,-0.8117403988440224,-0.6221595526086658,-0.004851270467776928,-0.026573071063022282,-0.07835880534265154,-0.05609337107926911,0.04417932451197905,-0.01008991632263115,-0.04590396119955549,-0.037162711068747946,-0.012051034283627781,0.07425287774423382,0.0
A ETA_dAlpha_B,0.14100807116614744,0.24960543986798833,0.03245798037571094,-0.01258459311240899,-0.02773227381273665,-0.31839456607531985,0.23532882525007776,1.0,-0.48844451246718057,-0.5219197889509473,0.028087727198637603,0.018405264166583012,0.012241994309448336,-0.0065179798640564125,0.0042065704506407675,0.059899830504050566,-0.08836400215621926,-0.08295721372125128,0.08707891557354402,0.004964385484858991,0.0837110543040775,-0.07331387292522559,6.309221882657686e-19
A ETA_BetaP,0.45701925117986675,0.1831377144499312,0.4707368442433867,0.47579101244155475,0.48037886580991723,0.8063842542133107,0.33636486050032555,-0.48844451246718057,1.0,0.8709431058629047,-0.6830899000396905,-0.7489403881571215,0.028076869505841477,0.009183033087472859,-0.048571104154685754,-0.07152291344771916,0.09251054554899205,-0.008314976205754783,-0.08295705919548634,-0.008616291242719561,-0.13514725606873645,0.12526011185489574,1.3781300890059066e-18
A FMF,0.14604173510777957,0.1428834790729539,0.34533297514400096,0.3337161923165046,0.32824310563790704,0.8278706783344414,0.29092766531062275,-0.5219197889509473,0.8709431058629047,1.0,-0.6268428485632627,-0.6582996935376361,0.00515715708840823,0.009758003257221115,-0.04153801374376258,-0.049627460223973616,0.06802033653966123,-0.009555874854085758,-0.03827570426989956,-0.004112126701332691,-0.037457816718611925,0.07527178585118925,-2.847721301647936e-19
A LOMO,-0.4615250641726729,-0.7474731715803333,-0.8915699108009376,-0.8692985620143239,-0.8555081126408492,-0.8922012930768805,-0.8117403988440224,0.028087727198637603,-0.6830899000396905,-0.6268428485632627,1.0,0.9441795833202519,0.014450212640310241,0.03309844829354902,0.06784073814573122,0.05304519733209659,-0.04409607266057434,0.024024996452327675,0.042731039298691285,0.03405539525507179,0.061561379027536986,-0.10154886540299778,1.2986697536753977e-18
A Bandgap,-0.6122881597050783,-0.5385023050824506,-0.7655835255327936,-0.7784762614149489,-0.7804681118233244,-0.7956902551382194,-0.6221595526086658,0.018405264166583012,-0.7489403881571215,-0.6582996935376361,0.9441795833202519,1.0,0.011985124843455095,0.011846451166429685,0.033165249285099035,0.020160205398648184,-0.018899098327443496,0.04896425848709367,0.008718245223642725,0.010203671443482741,0.08634677521723538,-0.07992984861271281,8.837080537407317e-19
B nH,0.009080713100421425,-0.020888208427564184,-0.028595229031152438,-0.03992806309607995,-0.04238151742489273,-0.002346667760071587,-0.004851270467776928,0.012241994309448336,0.028076869505841477,0.00515715708840823,0.014450212640310241,0.011985124843455095,1.0,0.37070562926968154,-0.06091954899347082,0.03932190186258257,-0.06253419862010509,-0.4223884646739821,-0.1527709427024695,0.41964233837247417,0.3347324464949605,-0.29463611823424934,8.694785398697593e-19
B nN,-0.0525226856879642,-0.04358908342929527,-0.06271703623881957,-0.06724520509239683,-0.06870577878922221,-0.009062477223527963,-0.026573071063022282,-0.0065179798640564125,0.009183033087472859,0.009758003257221115,0.03309844829354902,0.011846451166429685,0.37070562926968154,1.0,0.6962957046942803,0.6184954518062081,-0.3041412762354778,-0.20031841819025897,0.46514381316147896,0.8802945245892594,-0.19314319712760294,-0.7060364900425797,0.0
B Mpe,-0.06729507984161671,-0.07914927475159543,-0.09607644125661458,-0.08875529331565872,-0.0865857066954812,-0.06796647535944214,-0.07835880534265154,0.0042065704506407675,-0.048571104154685754,-0.04153801374376258,0.06784073814573122,0.033165249285099035,-0.06091954899347082,0.6962957046942803,1.0,0.8853376190696193,-0.6743543251293684,-0.13413717993966573,0.716040290237485,0.752029785294947,-0.4642997428133189,-0.7708461097064472,0.0
B Mp,-0.0774639523829825,-0.05393620451051596,-0.08892018168172473,-0.08586987797749866,-0.08569769634948605,-0.06891032392778774,-0.05609337107926911,0.059899830504050566,-0.07152291344771916,-0.049627460223973616,0.05304519733209659,0.020160205398648184,0.03932190186258257,0.6184954518062081,0.8853376190696193,1.0,-0.9098813492243342,-0.5024811359946754,0.8933555280348678,0.7125530011940501,-0.21943631044212156,-0.8594357651101732,-1.809305022014095e-18
B Mi,0.06419575185900528,0.03609963458263094,0.07352042811387569,0.07071551390541785,0.07068404338118305,0.07730643985619416,0.04417932451197905,-0.08836400215621926,0.09251054554899205,0.06802033653966123,-0.04409607266057434,-0.018899098327443496,-0.06253419862010509,-0.3041412762354778,-0.6743543251293684,-0.9098813492243342,1.0,0.5905460235528105,-0.824731176961127,-0.5179662811418846,0.02498817750718636,0.7596563490210277,0.0
B ETA_dAlpha_B,0.016331418681615185,-0.005622649937209655,0.019740374839390822,0.026585050087554428,0.02936393509713605,-0.003702036867343421,-0.01008991632263115,-0.08295721372125128,-0.008314976205754783,-0.009555874854085758,0.024024996452327675,0.04896425848709367,-0.4223884646739821,-0.20031841819025897,-0.13413717993966573,-0.5024811359946754,0.5905460235528105,1.0,-0.45314239717114585,-0.29409763770440217,-0.11177536288149899,0.34223824520303864,-5.405384052363499e-18
B ETA_BetaP,-0.07173018655554819,-0.040284714319506365,-0.07845988632753868,-0.07488677021691313,-0.07486585514553411,-0.06544523309925837,-0.04590396119955549,0.08707891557354402,-0.08295705919548634,-0.03827570426989956,0.042731039298691285,0.008718245223642725,-0.1527709427024695,0.46514381316147896,0.716040290237485,0.8933555280348678,-0.824731176961127,-0.45314239717114585,1.0,0.443861551715452,-0.03596556063007975,-0.7772540622092255,-7.420425293515225e-19
B fragC,-0.06571105587688839,-0.05354081496193581,-0.07692450706451688,-0.08066061382334154,-0.08197070942838364,-0.022361071308927807,-0.037162711068747946,0.004964385484858991,-0.008616291242719561,-0.004112126701332691,0.03405539525507179,0.010203671443482741,0.41964233837247417,0.8802945245892594,0.752029785294947,0.7125530011940501,-0.5179662811418846,-0.29409763770440217,0.443861551715452,1.0,-0.17626304098175885,-0.7355120823401523,1.0348543126453602e-18
B HOMO,-0.11766303910981198,-0.008559276256841527,-0.06542458965522982,-0.07715271735618263,-0.08230160293205752,-0.05579329377700172,-0.012051034283627781,0.0837110543040775,-0.13514725606873645,-0.037457816718611925,0.061561379027536986,0.08634677521723538,0.3347324464949605,-0.19314319712760294,-0.4642997428133189,-0.21943631044212156,0.02498817750718636,-0.11177536288149899,-0.03596556063007975,-0.17626304098175885,1.0,-0.15556432942809503,-9.044567132746911e-19
B Bandgap,0.11668057255497895,0.07443496992980025,0.1260386660458991,0.12684522150032976,0.12784759711600802,0.1037737410094608,0.07425287774423382,-0.07331387292522559,0.12526011185489574,0.07527178585118925,-0.10154886540299778,-0.07992984861271281,-0.29463611823424934,-0.7060364900425797,-0.7708461097064472,-0.8594357651101732,0.7596563490210277,0.34223824520303864,-0.7772540622092255,-0.7355120823401523,-0.15556432942809503,1.0,1.1504019510386558e-18
Time (s),0.0,1.1335454938734444e-18,7.488477429276524e-19,-5.509816754129673e-19,1.2853485227527372e-18,0.0,0.0,6.309221882657686e-19,1.3781300890059066e-18,-2.847721301647936e-19,1.2986697536753977e-18,8.837080537407317e-19,8.694785398697593e-19,0.0,0.0,-1.809305022014095e-18,0.0,-5.405384052363499e-18,-7.420425293515225e-19,1.0348543126453602e-18,-9.044567132746911e-19,1.1504019510386558e-18,1.0
